id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories
205059,Mansions of Madness: Second Edition,2016,8.43446,2264,2.6774,1,5,120,180,Thematic
43111,Chaos in the Old World,2009,7.68426,10542,3.159,3,4,60,120,Strategy Thematic
101721,Mage Wars Arena,2012,7.88435,5597,3.6261,2,2,90,90,Customizable
14996,Ticket to Ride: Europe,2005,7.59233,32028,1.9674,2,5,30,60,Family
27833,Steam,2009,7.69842,7645,3.454,3,5,90,90,Strategy
9216,Goa,2004,7.66003,9323,3.3885,2,4,90,90,Strategy
128621,Viticulture,2013,7.82706,5308,2.9343,2,6,90,90,Strategy
39463,Cosmic Encounter,2008,7.61366,17096,2.5471,3,5,60,120,Strategy Thematic
4098,Age of Steam,2002,7.71277,6544,3.9258,1,6,120,120,Strategy
555,The Princes of Florence,2000,7.6098,12797,3.2526,2,5,75,100,Strategy
148228,Splendor,2014,7.56323,24126,1.8455,2,4,30,30,Family
77423,The Lord of the Rings: The Card Game,2011,7.65551,13679,3.1057,1,2,60,60,Customizable
125153,The Gallerist,2015,8.10163,2649,4.2656,1,4,60,150,Strategy
146886,La Granja,2014,7.85426,4027,3.5762,1,4,90,120,Strategy
175155,Forbidden Stars,2015,8.12025,2845,3.7319,2,4,120,180,Strategy
43015,Hansa Teutonica,2009,7.64408,7808,3.1347,2,5,45,90,Strategy
188,Go,2200,7.6845,10889,3.9622,2,2,90,90,Abstract
148949,Istanbul,2014,7.62079,9794,2.6161,2,5,40,60,Strategy
215,Tichu,1991,7.61238,10076,2.3513,3,10,60,60,Strategy
104006,Village,2011,7.57735,12417,3.0808,2,4,60,90,Strategy
154203,Imperial Settlers,2014,7.61736,10166,2.7536,1,4,45,90,Strategy
234,Hannibal: Rome vs. Carthage,1996,7.82842,4215,3.4137,2,2,40,200,Wargames
54043,Jaipur,2009,7.54424,15577,1.5437,2,2,30,30,Family
31627,Ticket to Ride: Nordic Countries,2007,7.66816,7365,2,2,3,30,60,Family
93260,Summoner Wars: Master Set,2011,7.65367,8207,2.521,2,4,30,30,Customizable Strategy
140620,Lewis & Clark,2013,7.6196,7871,3.3014,1,5,120,120,Strategy
9209,Ticket to Ride,2004,7.49033,44393,1.8827,2,5,30,60,Family
20551,Shogun,2006,7.58997,9997,3.3719,3,5,150,150,Strategy
22545,Age of Empires III: The Age of Discovery,2007,7.59961,8637,3.1332,2,5,90,120,Strategy
129437,Legendary: A Marvel Deck Building Game,2012,7.63928,10969,2.4751,1,5,45,45,Thematic
10630,Memoir '44,2004,7.52616,18337,2.2772,2,2,30,60,Wargames
38453,Space Alert,2008,7.55657,11185,2.9212,1,5,30,30,Thematic
24181,Imperial,2006,7.63579,7002,3.5753,2,6,120,180,Strategy
59294,Runewars,2010,7.71916,6122,3.746,2,4,180,180,Strategy Thematic
97207,Dungeon Petz,2011,7.60796,7878,3.5245,2,4,90,90,Strategy Thematic
31481,Galaxy Trucker,2007,7.48406,19209,2.3087,2,4,60,60,Thematic
146439,BattleLore (Second Edition),2013,7.96237,2994,2.7806,2,2,45,90,Wargames
127060,Bora Bora,2013,7.62277,5967,3.7427,2,4,60,120,Strategy
12,Ra,1999,7.46915,14753,2.358,2,5,45,60,Strategy
17392,Here I Stand,2006,7.93263,2823,4.1239,2,6,360,360,Wargames
48726,Alien Frontiers,2010,7.51537,10780,2.5655,2,4,90,90,Strategy
54998,Cyclades,2009,7.53742,11086,2.8274,2,5,60,90,Strategy
19857,Glory to Rome,2005,7.50944,10468,2.923,2,5,60,60,Strategy
41114,The Resistance,2009,7.45875,23319,1.6348,5,10,30,30,Party
77130,Sid Meier's Civilization: The Board Game,2010,7.53102,10778,3.8442,2,4,120,240,Strategy
181304,Mysterium,2015,7.56708,8136,1.9437,2,7,42,42,Family Thematic
7854,YINSH,2003,7.66048,4881,2.7444,2,2,30,60,Abstract
822,Carcassonne,2000,7.43326,61682,1.9439,2,5,30,45,Family
119890,Agricola:  All Creatures Big and Small,2012,7.53565,8268,2.3471,2,2,30,30,Strategy
108745,Seasons,2012,7.48142,12658,2.7595,2,4,60,60,Strategy
66589,Navegador,2010,7.59319,5744,3.0907,2,5,60,90,Strategy
92828,Dixit Odyssey,2011,7.54226,8797,1.2568,3,12,30,30,Party
1,Die Macher,1986,7.67559,4411,4.3464,3,5,240,240,Strategy
176189,Zombicide: Black Plague,2015,8.05534,2931,2.6694,1,12,60,180,Thematic
54138,Imperial 2030,2009,7.75543,3730,3.4948,2,6,120,120,Strategy
27708,1960: The Making of the President,2007,7.56362,6765,3.1995,2,2,90,90,Strategy
118048,Targi,2012,7.62757,5127,2.3794,2,2,60,60,Strategy
123123,BattleCON: Devastation of Indines,2013,8.19768,1930,3.0547,1,5,45,45,Strategy
421,1830: Railways & Robber Barons,1986,7.80269,3207,4.1438,2,7,180,360,Strategy
36932,Claustrophobia,2009,7.62854,5246,2.4852,2,2,45,45,Thematic
15985,Blood Bowl: Living Rulebook,2004,7.86894,2917,3.1446,2,2,120,120,Thematic
45315,Dungeon Lords,2009,7.46743,10315,3.5268,2,4,90,90,Strategy
463,Magic: The Gathering,1993,7.43184,21429,3.1385,2,2,20,20,Customizable
40692,Small World,2009,-1,-1,-1,-1,-1,-1,-1,-1
3,Samurai,1998,7.44031,11614,2.5086,2,4,30,60,Strategy
39856,Dixit,2008,7.37611,27898,1.2721,3,6,30,30,Party
124708,Mice and Mystics,2012,7.50694,9608,2.6227,1,4,120,120,Thematic
59959,Letters from Whitechapel,2011,7.5051,8003,2.694,2,6,120,120,Strategy Thematic
760,Battle Line,2000,-1,-1,-1,-1,-1,-1,-1,-1
40765,Clash of Cultures,2012,-1,-1,-1,-1,-1,-1,-1,-1
172818,Above and Below,2015,7.72065,3681,2.5759,2,4,90,120,Strategy Thematic
243,Advanced Squad Leader,1985,7.91841,2825,4.6868,2,2,180,12000,Wargames
33160,Endeavor,2009,7.46458,7829,2.9064,3,5,90,90,Strategy
105134,Risk Legacy,2011,7.61573,4975,2.6066,3,5,60,60,Strategy Wargames
136888,Bruges,2013,7.51198,6370,2.7543,2,4,60,60,Strategy
155873,Power Grid deluxe: Europe/North America,2014,8.167,1659,3.2043,2,6,120,120,Strategy
37046,Ghost Stories,2008,7.3934,13170,2.896,1,4,60,60,Strategy Thematic
25292,Merchants & Marauders,2010,-1,-1,-1,-1,-1,-1,-1,-1
129622,Love Letter,2012,-1,-1,-1,-1,-1,-1,-1,-1
25021,Sekigahara: The Unification of Japan,2011,8.04048,1877,2.7198,2,2,180,180,Wargames
121,Dune,1979,7.6154,4420,3.4288,2,6,60,180,Strategy Thematic
63628,The Manhattan Project,2012,7.50685,6046,2.9663,2,5,120,120,Strategy
54625,Space Hulk (third edition),2009,7.57322,5657,2.7871,2,2,60,60,Thematic
176494,Isle of Skye: From Chieftain to King,2015,7.54986,5415,2.2689,2,5,30,50,Family Strategy
157969,Sheriff of Nottingham,2014,7.3987,11957,1.6875,3,5,60,60,Family Party
25554,Notre Dame,2007,7.39975,9606,2.763,2,5,45,75,Strategy
163745,Star Wars: Armada,2015,8.05082,2163,3.0641,2,2,120,120,Thematic Wargames
31594,In the Year of the Dragon,2007,7.42472,7964,3.1335,2,5,75,100,Strategy
71,Civilization,1980,7.52758,6002,3.6686,2,7,360,360,Strategy
2655,Hive,2001,7.34361,18652,2.3443,2,2,20,20,Abstract
70323,King of Tokyo,2011,7.32638,32467,1.5153,2,6,30,30,Family
143693,Glass Road,2013,7.51777,5156,2.9611,1,4,75,75,Strategy
70919,Takenoko,2011,7.35417,17187,1.9791,2,4,45,45,Family
5,Acquire,1964,7.35914,14618,2.511,3,6,90,90,Strategy
73171,Earth Reborn,2010,7.79912,2788,3.863,2,4,180,180,Thematic
21241,Neuroshima Hex!,2006,7.44126,8936,2.6047,1,4,30,30,Strategy
82222,Xia: Legends of a Drift System,2014,7.83993,2739,3.119,3,5,60,180,Strategy Thematic
147949,One Night Ultimate Werewolf,2014,7.40795,9281,1.4123,3,10,10,10,Party
15987,Arkham Horror,2005,7.37105,28590,3.5398,1,8,120,240,Thematic
54,Tikal,1999,7.34092,13084,2.8358,2,4,60,120,Strategy
144344,Rococo,2013,7.58534,3952,3.1039,2,5,60,120,Strategy
79828,A Few Acres of Snow,2011,7.4575,5980,3.0285,2,2,60,120,Strategy Wargames
181279,Fury of Dracula (third edition),2015,7.79829,2723,3.117,2,5,120,180,Thematic
9217,Saint Petersburg,2004,7.33673,12072,2.4744,2,4,45,60,Strategy
21348,Ticket to Ride: Mí_rklin,2006,7.4192,7494,2.24,2,5,30,60,Family Strategy
8217,San Juan,2004,7.30062,18025,2.2928,2,4,45,60,Strategy
83330,Mansions of Madness,2011,7.42325,9937,3.2452,2,5,120,120,Thematic
13122,Antiquity,2004,7.83031,2169,4.2912,2,4,120,180,Strategy
40354,Maria,2009,7.97953,1793,3.5025,2,3,210,210,Wargames
55670,Macao,2009,7.44476,5591,3.1339,2,4,50,100,Strategy
25417,BattleLore,2006,-1,-1,-1,-1,-1,-1,-1,-1
2653,Survive: Escape from Atlantis!,1982,7.33157,12453,1.7076,2,4,60,60,Family
46213,Telestrations,2009,7.44687,5804,1.1143,4,8,30,30,Party
133038,Pathfinder Adventure Card Game: Rise of the Runelords äóñ Base Set,2013,7.40956,8810,2.7188,1,4,90,90,Thematic
24480,The Pillars of the Earth,2006,7.32109,12524,2.8345,2,4,90,120,Strategy
176920,Mission: Red Planet (second edition),2015,7.70536,2807,2.2174,2,6,45,90,Family Strategy
109276,Kanban: Automotive Revolution,2014,7.79513,2417,4.2721,2,4,90,120,Strategy
55690,Kingdom Death: Monster,2015,9.14288,1299,4.1667,1,6,30,60,Thematic
102652,Sentinels of the Multiverse,2011,7.38536,10139,2.4951,1,5,30,60,Thematic
875,Roads & Boats,1999,7.75855,2400,4.1845,1,4,240,240,Strategy
712,Blood Bowl (Third Edition),1994,7.58329,4321,2.9632,2,2,180,180,Strategy Thematic
136063,Forbidden Desert,2013,7.32406,12618,2.0452,2,5,45,45,Family
90137,Blood Bowl: Team Manager äóñ The Card Game,2011,7.39525,7642,2.3211,2,4,90,90,Thematic
19777,Indonesia,2005,7.74088,2394,3.9942,2,5,180,240,Strategy
96913,Lancaster,2011,7.49307,4458,3,2,5,60,60,Strategy
18833,Lord of the Rings: The Confrontation,2005,7.51728,4285,2.1966,2,2,30,30,Strategy
39683,At the Gates of Loyang,2009,7.38476,6709,3.1511,1,4,60,120,Strategy
66188,Fresco,2010,7.34758,8154,2.6396,2,4,60,60,Family Strategy
98778,Hanabi,2010,-1,-1,-1,-1,-1,-1,-1,-1
65781,London,2010,7.4211,5342,2.8826,2,4,90,90,Strategy
5404,Amun-Re,2003,-1,-1,-1,-1,-1,-1,-1,-1
128996,1775: Rebellion,2013,7.85358,2092,2.2926,2,4,60,120,Wargames
17226,Descent: Journeys in the Dark,2005,7.36485,10057,3.3384,2,5,240,240,Thematic
100901,Flash Point: Fire Rescue,2011,7.30216,12361,2.2143,1,6,45,45,Family Thematic
66362,Glen More,2010,7.36316,6751,2.6718,2,5,45,70,Strategy
182874,Grand Austria Hotel,2015,7.74555,2445,3.2067,2,4,60,120,Strategy
118,Modern Art,1992,-1,-1,-1,-1,-1,-1,-1,-1
13,Catan,1995,7.28775,62588,2.3653,3,4,60,120,Family Strategy
116998,Thunderstone Advance: Towers of Ruin,2012,7.53347,3895,2.7378,1,5,60,90,Strategy
97786,Small World Underground,2011,7.39922,6475,2.6026,2,5,30,90,Strategy
139976,Cthulhu Wars,2015,8.07436,1814,3.1069,3,4,90,120,Strategy Thematic
58421,Egizia,2009,7.46097,4204,2.8305,2,4,90,90,Strategy
42052,Vinhos,2010,7.55684,3417,4.185,2,4,60,135,Strategy
3685,Hammer of the Scots,2002,7.57262,3328,2.9868,2,2,120,180,Wargames
169255,A Game of Thrones: The Card Game (Second Edition),2015,8.06819,1720,3.4247,2,4,60,120,Customizable
11170,Heroscape Master Set: Rise of the Valkyrie,2004,7.4151,6737,2.29,2,4,90,90,Thematic
27162,Kingsburg,2007,7.24762,14365,2.4353,2,5,90,90,Family Strategy
150658,Pandemic: The Cure,2014,7.43269,4780,2.0741,2,5,30,30,Family Strategy
113924,Zombicide,2012,7.35981,9917,2.5895,1,6,45,180,Thematic
176396,Quadropolis,2016,7.53936,3523,2.1848,2,4,30,60,Family
63888,Innovation,2010,7.26534,10235,2.7116,2,4,45,60,Strategy
475,Taj Mahal,2000,7.34528,6098,3.0068,3,5,75,100,Strategy
144592,Bruxelles 1893,2013,7.64789,2565,3.5708,2,5,50,125,Strategy
172,For Sale,1997,7.21789,14169,1.2895,3,6,20,20,Family
62222,Commands & Colors: Napoleonics,2010,-1,-1,-1,-1,-1,-1,-1,-1
36553,Time's Up! Title Recall!,2008,7.78873,1965,1.2025,4,18,60,60,Party
166384,Spyfall,2014,7.29114,8084,1.3007,3,8,15,15,Party
128671,Spartacus: A Game of Blood & Treachery,2012,7.49431,4239,2.6866,3,4,150,150,Thematic
105551,Archipelago,2012,7.4304,4577,3.7178,2,5,30,240,Strategy
3307,Wallenstein (first edition),2002,7.53245,3247,3.3125,3,5,150,150,Strategy
90419,Airlines Europe,2011,7.37814,5056,2.4409,2,5,75,75,Family Strategy
9625,Struggle of Empires,2004,7.52165,3336,3.5996,2,7,180,240,Strategy
125618,Libertalia,2012,7.28197,8006,2.2375,2,6,45,45,Strategy
6472,A Game of Thrones (first edition),2003,-1,-1,-1,-1,-1,-1,-1,-1
39351,Automobile,2009,7.38567,4598,3.5198,3,5,120,120,Strategy
138161,Firefly: The Game,2013,7.4145,5981,2.9471,1,5,120,240,Thematic
137408,Amerigo,2013,7.49801,3394,3.0076,2,4,90,90,Strategy
27173,Vikings,2007,7.31037,6544,2.5389,2,4,60,60,Strategy
163068,Trickerion: Legends of Illusion,2015,7.87876,1831,4.0115,2,4,60,120,Strategy
163968,Elysium,2015,7.41568,4231,2.7755,2,4,60,60,Strategy
158899,Colt Express,2014,7.26173,9297,1.8041,2,6,30,40,Family
127398,Legends of Andor,2012,7.34269,6503,2.7374,2,4,60,90,Thematic
162082,Deus,2014,7.41525,4084,2.8508,2,4,60,90,Strategy
62227,"Labyrinth: The War on Terror, 2001 äóñ ?",2010,7.56969,2916,3.5208,1,2,180,180,Strategy Wargames
146791,Shadows of Brimstone: City of the Ancients,2014,8.0724,1760,3.3597,1,4,120,120,Thematic
34219,Biblios,2007,7.24734,8669,1.6952,2,4,30,30,Family Strategy
1513,The Republic of Rome,1990,7.55157,3253,4.281,1,6,300,300,Strategy
34119,Tales of the Arabian Nights,2009,7.28871,7815,2.1762,1,6,120,120,Thematic
39938,Carson City,2009,7.32066,5464,3.1814,2,5,90,90,Strategy
478,Citadels,2000,7.15719,35513,2.063,2,8,20,60,Family Strategy
18098,Napoleon's Triumph,2007,7.98124,1477,3.5975,2,2,180,180,Wargames
133848,Euphoria: Build a Better Dystopia,2013,7.36695,5094,3.1083,2,6,60,60,Strategy
97842,Last Will,2011,7.28285,6248,2.6859,2,5,45,75,Strategy
119506,Freedom: The Underground Railroad,2012,7.66285,2180,2.9058,1,4,60,120,Strategy Thematic
154809,Nippon,2015,7.8498,1690,3.7563,2,4,60,120,Strategy
140603,Francis Drake,2013,7.5333,2894,2.9231,3,5,90,120,Strategy
586,Up Front,1983,7.83947,1828,3.3866,2,3,60,60,Wargames
9674,Ingenious,2004,7.18876,12381,1.9336,1,4,45,45,Abstract
18,Robo Rally,1994,7.17406,18573,2.4327,2,8,20,120,Strategy Thematic
50750,Belfort,2011,7.35443,4726,3.0437,2,5,120,120,Strategy
181521,Warhammer Quest: The Adventure Card Game,2015,7.75668,2313,2.7164,1,4,30,60,Thematic
26997,1989: Dawn of Freedom,2012,7.92827,1535,3.2635,2,2,150,150,Strategy Wargames
42776,Gears of War: The Board Game,2011,7.51485,3542,2.8789,1,4,180,180,Thematic
15363,Nexus Ops,2005,7.26256,7369,2.2275,2,4,90,90,Thematic
43570,Friday,2011,7.2537,7653,2.1167,1,1,25,25,Strategy
128271,Ginkgopolis,2012,7.43353,3484,2.9036,1,5,45,45,Strategy
24800,Conflict of Heroes: Awakening the Bear! äóñ Russia 1941-42,2008,7.57467,2770,2.9957,1,4,120,120,Wargames
150,PitchCar,1995,7.24664,7229,1.1291,2,8,30,30,Family Party
134726,Smash Up: Awesome Level 9000,2013,7.39888,4579,2.1266,2,2,45,45,Family Strategy
121288,Dixit: Journey,2012,7.5049,3188,1.3167,3,6,30,30,Party
148575,Marvel Dice Masters: Avengers vs. X-Men,2014,7.38957,4421,2.2839,2,2,15,60,Customizable
65532,Defenders of the Realm,2010,7.40143,4322,2.721,1,4,90,90,Thematic
50,Lost Cities,1999,7.13611,25028,1.5198,2,2,30,30,Family
113997,Mysterium,2013,7.42961,3621,1.8855,2,7,30,60,Party Thematic
155703,Evolution,2014,7.31347,5679,2.4655,2,6,50,70,Strategy
22827,StarCraft: The Board Game,2007,7.34391,5867,3.8201,2,6,180,240,Strategy Thematic
15062,Shadows over Camelot,2005,7.15766,19084,2.5603,3,7,60,80,Thematic
95527,Madeira,2013,7.68117,2107,4.2455,2,4,60,150,Strategy
160499,King of New York,2014,7.25316,7231,1.8452,2,6,40,40,Family
