id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories,types,mechanisms,description,image
27682,Ultimate Werewolf: Whitebox Edition,2007,6.25714,70,1.3333,7,31,60,60,,Bluffing Deduction Horror Murder/Mystery Negotiation ,PartnershipsRole PlayingVariable Player PowersVoting,"This edition is out of print as of September 2008 and has been replaced by Ultimate Werewolf: Ultimate Edition
Ultimate Werewolf is a group game/activity where each of the players take on secret roles in a village that's being terrorized by werewolves. Some of the players are werewolves, many are plain, simple villagers, but many players have special abilities, such as being able to tell who is a werewolf and who isn't, and the Magician, who can save or kill any other player instantly. Each night the werewolves eat a villager. Each day, the village convenes and attempts to lynch one of their own, trying to find the werewolves that are secretly living among them.
The Ultimate Werewolf: Whitebox Edition package from Bezier Games makes this game easier to play than ever before, and supports up to 31 players! Ultimate Werewolf: Whitebox Edition includes a number of components to make your games faster, more intriguing, and more fun than ever before:
31 Sleeved Player Cards: These lavishly illustrated full-color cards contain the name of the role and a short description of that role's abilities. There's no confusion as to what each card is and what that role does. Each player card comes in a plastic sleeve with a sliding insert that covers the card face. There's no chance of accidentally flipped, dropped, or otherwise revealed cards.
Getting Started with Ultimate Werewolf Guide: This handy guide provides information and advice about everything related to setting up and moderating an Ultimate Werewolf game, from how to set up the chairs for the players to how to keep the game moving along.
Player Reference Cards: 30 full-size reference cards with a complete role listing and explanation on one side, and a detailed walk-through of the gameplay on the other.
Moderator Reference Cards: Reference cards for the Moderator with a detailed walk-through (including what to say at each step of the game) on one side, and role identity charts to fill out during the first night - never get confused over who is the hunter or any other role!
Role Suggestion Card: A handy reference card that suggests the right mix of werewolves, villagers, and special roles for players in any number from 7-31.
Name Card Tents: Included are 30 name card tents so all players can address each other by name; great for large groups, visitors, and team-building events.
The Amulet of Protection: One player secretly has an Amulet of Protection that will prevent him from dying one time. At night he may pass the Amulet to another player. Any role may have the Amulet, which is a smaller card that is inserted between the role card and the sliding insert.
Custom Cards: If you're an experienced player who likes to play with a certain role not included in the base set, you can select an additional role from a list, or even have custom cards made and enclosed with your order.
Unique custom roles found only in Ultimate Werewolf: Whitebox Edition: The Village Idiot, Wolf Cub, Aura Seer and Spellcaster.
Re-implements:
    Werewolf
Re-implemented by:
    Ultimate Werewolf: Ultimate Edition
",http://cf.geekdo-images.com/d0hEvbI6DG-SKAcoyiGS0M-aCXA=/fit-in/200x150/pic180161.jpg
134009,The Hobbit: An Unexpected Journey Strategy Battle Game,2012,7.15278,36,3.3333,2,0,30,30,,Fantasy Fighting Miniatures Movies / TV / Radio theme Novel-based Wargame ,Dice RollingVariable Player Powers,"A new game by Games Workshop following the release of the movie The Hobbit: An Unexpected Journey by Peter Jackson.
The Hobbit: An Unexpected Journey Strategy Battle Game is a tabletop fantasy wargame for two players. You can recreate the adventures of Bilbo Baggins, Gandalf, Thorin Oakenshield and his friends and play small-scale skirmish games involving miniatures models. Rules that govern how the models move and fight are contained in the 288-page full-colour manual. The game manual also contains even scenarios recreating the events of The Hobbit: An Unexpected Journey movie and hobby sections. Players choose and collect armies of models that are described in separate Warhammer army books. A range of models is also available from Games Workshop designed by Alan Perry, Michael Perry and Aly Morrison, in Finecast and in plastic.
The game is a revision of The Lord of the Rings: Strategy Battle Game.
",http://cf.geekdo-images.com/QC2DoUISKomgExmCqAnkOHtsz5U=/fit-in/200x150/pic2422924.jpg
58003,Kenta,2009,6.78421,38,2.2857,3,5,45,45,,,,"How many choices do we make every day? What if the first one had an influence on all the others? Can we predict what will happen to us depending on the color of the shirt we decided to wear this morning? And what about the choices of others, do they affect ours? Can we go to bed resting assured that all our objectives have been met?
Kenta throws players into uncertainty, into chaos, into the others influences on our own destiny. It is a race, not against time, but against the unpredictable.  The Kenta Finish line marker moves at the players will and crossing it first does not guarantee victory.
In this chaotic race, once a player has crossed the Finish line, all players sprint by adding up points achieved during the race itself, their cards, and secret objectives for each player. Thus, even if you cross the Finish line first, victory may not be yours!
Links:
     http://kokorin.wordpress.com/2009/03/15/kenta-acabado/
     http://kokorin.wordpress.com/proyecto-kenta/
Rules currently available:
     in English by Carmen Mndez: http://kokorin.wordpress.com/files/2009/10/kenta_english_.pdf
     in Spanish by Vctor Melo: http://kokorin.wordpress.com/files/2009/09/kenta-reglamento.pdf
     and in Catalan by Marc Figueras: http://eoficina.e.telefonica.net/sites/0917/Org450082/pwe/pwe/kenta-reglament_CA.pdf
",http://cf.geekdo-images.com/42E_t-YSEAYp93EDai2RDhB5NQ4=/fit-in/200x150/pic767383.jpg
5467,Clue: The Haunted Mansion,2002,6.11087,115,1.875,3,6,45,45,,Children's Game Deduction Movies / TV / Radio theme Murder/Mystery ,Roll / Spin and Move,"the Haunted Mansion Clue, was the first of the tin boxed Disney Theme Park Editions.  They are only sold at Disney resorts and theme parks.
A version with lower quality components and a cardboard box was later sold in regular toy stores.
From the box:
In this special edition of the classic Clue game, you'll search rooms and secret passages as one of 6 different Disney characters. The mystery changes every time you play, If you collect the right clues and make the right deductions, youll solve the mystery of the Haunted Mansion! We have 999 happy haunts, but theres always room for one more
",http://cf.geekdo-images.com/tnExl6DlqH-7RiE-nCK3McYqkZE=/fit-in/200x150/pic214002.jpg
315,Bagh Chal,1000,5.91961,153,2.3889,2,2,20,20,Abstract,Abstract Strategy ,Grid MovementVariable Player Powers,"Bagh Chal is a traditional abstract game that is popular in Nepal. The name roughly translates to Tigers Moving. It is an abstract strategy game with an asymmetric setup, i.e. a different number of pieces per side (like Hnefatafl and its ilk). One opponent plays four tiger pieces and the other plays twenty goats.
The board bears a passing resemblance to a Chinese Chess board in that the pieces move along lines from intersection to intersection. However, the gameplay is more similar to Alquerque, Checkers or Draughts. At the start of the game, there are four tigers on the board while there are no goats. The goat player places his/her pieces on the board one by one wherever they choose, with the tiger player getting a move between each placing. Once all the goats are on the board, the two players take turns moving one of their pieces one space. A tiger can alternatively capture a single goat by jumping over it in a line  to an empty space. The tigers win if they can capture five goats. The goal for the goats (who cannot make captures) is to hem the tigers in, giving them no opportunity to move or jump.
It is one variant from a family of similar Asian games played with varying numbers of tigers/leopards/goats/cows/etc and varying board topologies.
See also Cows and Leopards and Fox and Geese.
Games played on exactly the same board layout (same lines connecting the intersections and same size) include the traditional Spanish Alquerque and Fanoron-Dimy, the smaller variant of Fanorona from Madagascar. See the according image galleries of these games.
",http://cf.geekdo-images.com/UfIbBzqJvoqQsKeG-lMU8jfVlBM=/fit-in/200x150/pic49485.jpg
37724,Paul Koenig's D-Day: The Canadian Beach,2008,6.45192,52,1.5333,2,2,50,50,Wargames,Wargame World War II ,Chit-Pull SystemHex-and-Counter,"Juno: The Canadian Beach is the first game in the Paul Koenigs D-Day series of five titles covering the first three nail-biting days (June 6  9, 1944) of Allied landings in France to liberate Europe during World War 2. Using fluid and dynamic systems for integrating the fierce combat and rapid movements of the companies and battalions contesting the beaches, cliffs, swamps and bocage bordering the rough North Sea coast, players will find the easy rules to offer rich puzzles and surprising opportunities on the cross-map march to victory.
Can the Canadian 3rd Division find sufficient air, naval, and artillery support to clear Juno Beach and advance inland through the bocage country to the south and link up with the British beaches to the east? Or will the German defenders of the 716th Division react in time, bringing up their anti-tank assets to stop the Canadians on the beaches as they did at Dieppe two years earlier? The German commander, Erwin Rommel, planned to stop the invasion on the beaches and it nearly happened!
Game Components:
     One 4-page, color  Standard Rules booklet
     40 color, 2-sided die-cut 1/2 mounted pieces
     28 round 5/8 counters
     One 11 x 17 color game map with tables
     1 BATTLESSON (TM) sheet
     Illustrated Examples of Play, Exclusive and Optional Game Rules
     Part of a 5 game series!
Ages: 12 and up
Complexity: 4 on a 9 scale
Solitaire Suitability: 8 on a 9 scale
Game Scale: Each unit is 1 company to regiment, each hex is 1 kilometer, and each turn is about 4.5 hours.
",http://cf.geekdo-images.com/M0BiNkJC1L9eECI8iB_81roo-3c=/fit-in/200x150/pic358966.jpg
1161,Perquackey,1956,5.9253,184,1.6111,2,6,20,20,,Dice Word Game ,Dice Rolling,"Perquackey is the other three minute word game.  You roll ten dice (thirteen if you have 2000 points) and must make words of three letters or more.  You can only use a form of a word once, and are limited to five of any length.  After the time is up, you score points for each word on your list, plus bonus points for filling consecutive groups (100 bonus points for five 3-letter words and five 4-letter words).  The game is to 5000, but that's easy to do in three or four turns.  You can only re-roll if you get no vowels, or all vowels.  A good quick word game, and best in  a small group.
Perquackey is a word dice game.
",http://cf.geekdo-images.com/PBQ-o6zyydRY2XwSIPdI02kKmT4=/fit-in/200x150/pic2604364.jpg
192668,Flag Dash,2016,7.28182,44,2.3333,2,4,30,40,,Deduction Sports ,Action / Movement ProgrammingPartnershipsPress Your LuckSimultaneous Action SelectionTake ThatVariable Player Powers,"In Flag Dash, you play as one of several childhood friends who promised to play their favorite pastime again after they grew up. Secretly plan your moves to outmaneuver the opposing team in an exciting game of capture the flag! Will your opponents ruin your plans, or will you return home victoriously with the flag?
